Название,Автор,Описание
Лавка подержанных артефактов,Letroz,"Куда девать старые, выдохшиеся или проклятые артефакты? В лавку поддержанных артефактов, конечно! Её владельцы: Стив и Форли — с радостью не только купят их, но и снимут проклятье или найдут им новое применение. Истинные мастера своего дела — они найдут выход из любой ситуации!"
Метаморф,Karos,"Максу в жизни не везло с самого детства, сначала была страшная болезнь. После выздоровления, учёба и похищение космическим пиратом. И вроде бы жизнь начала налаживаться, хоть и пришлось жить на исследовательской базе, в окружении прекрасных инопланетянок. Но при исследовании древнего корабля, снова был похищен и перенесён в другой мир. Да ладно если бы просто был перенесён, но после установки древнего модуля нейросети искином корабля, парень получил возможность к метаморфизму. И застрял в ипостаси девушки. Если вам стала интересна история моего нового персонажа. Добро пожаловать в мир Метаморфа."
Боевые искусства Ветрогорья,Шлифовальщик,"В туманном Ветрогорье живёт храбрый воин Гедвин. Однажды он встретил наставника, научившего его увидительной боевой магии. А в загазованном Ветрогорске живёт скромный менеджер Гена Двинянин. Однажды он встретил наставника, научившего его удивительным боевым приёмам. Бойцы начинают совершать подвиги, каждый в своём мире. И подвиги удивительно схожи. Вроде, ничего странного, просто Гена воображает себя воином Гедвином. Ну, или наоборот, Гедвин воображает себя менеджером. Однако всё гораздо сложнее..."
"Братик, я тебя хочу!",armani1120,"Я был обычным парнем до тех пор пока не приехала моя двоюродная сестричка и не взорвала мою обычную повседневную жизнь.Она неожиданно заявила, что я неизлечимо болен, и что мне срочно нужна помощь!"
Слепой рывок (редакция 2018 г),Ливадный Андрей Львович,"2197 год. Земля переживает последствия экологической катастрофы. Города, занимающие площадь материков, находятся во власти токсичного промышленного тумана. Иван Стожаров, — обычный подросток. Он, как и миллиарды других людей, вынужден жить под защитой индивидуального модуля жизнеобеспечения. Средой его обитания стал Слой киберпространства. Но однажды сила обстоятельств заставила молодого человека покинуть инмод. Тогда он еще не подозревал, что судьба проведет его через невероятные испытания, лицом к лицу столкнет с боевыми искусственными интеллектами, научит выживанию в дальнем Внеземелье, даст понять, что сумма технологий четырех правящих миром корпораций, может открыть дорогу к звездам, либо окончательно покончить с цивилизацией…"
Максимилиана,Ka Lip,"Её зовут Максим и это роман о любви. События романа происходят в наши дни. Бизнес, деньги и любовь. Мир бизнеса - мир мужчин, но ей придётся войти в их мир. Играя по их правилам и оставаясь собой. Любить и ненавидеть, бороться и победить."
Штрафная мразь,Герман Сергей Эдуардович,"Осень 1943 года, самый разгар Великой Отечественной войны. Действие повести начинается на прифронтовом полустанке, куда приходит эшелон с пополнением бойцов.В одном из вагонов везут будущих штрафников, несколько недель назад освобождённых из  лагеря. Среди штрафников находится молодой уголовник Энгельс Лученков, сменивший своё «революционное» имя на более простое- Глеб. Вместе с ним в штрафную роту попадают его друзья, вор- рецидивист Никифор Гулыга и аферист Миха Клёпа.Красная армия готовится к наступлению и уже через несколько дней штрафников бросают в бой. Командует штрафной ротой капитан Анатолий Половков.  Его подчинённых трудно назвать ангелами. Каждый из них со своим характером, с собственной «дурью» в голове. Старший лейтенант Мотовилов, оперуполномоченный «СМЕРШ» обвиняет Никифора Гулыгу в измене.  Через некоторое время погибает Клёпа. Лученков попадает в плен. Перед ним встаёт проблема нравственного выбора, одеть форму врага либо умереть."
Марфа ломает стереотипы,Алекса Богунова,"Сотрудница известного столичного таблоида Марфа Королёва получает задание собрать пикантную информацию о семье Славы Андронова - восходящей звезды рекламной индустрии. Для неё это возможность сделать карьеру. Смущает только, что ""мажор"" Марк, её приятель, будет против. Ведь Андронов − его друг детства. Марфа с лёгкой душой едет вместе с приятелем-""мажором"" в гости к Андроновым в элитный посёлок у озера. Она надеется, что никаких пикантных тайн в той семье нет. Она ошибается. Здесь убивают. Ограничение 16+"
Подобный Богу мужчина. Книга первая.,Алена Холмирзаева,"Микаэль - подобный Богу мужчина. Так переводится его имя, и пожалуй, на этом его сходство с Богом заканчивается. Он жёсткий и жестокий, он холодный и мрачный - его не за что любить. Он живет в свое удовольствие, он привык только брать, ничего не отдавая взамен. Он черств, он пуст, он мертв. Анна - она прекрасна. Нет в ней ничего особенного, ничего выдающегося, но она уникальна своим умением любить. Искренне, сильно по настоящему. Любить не за что то, а вопреки всему, любить не в выгоду, а в ущерб себе, любить, бесконечно любить, отдавая и ничего не прося взамен. И вот жизнь сводит таких разных людей вместе..."
Это все придумали люди,Дин Лейпек,"Где-то в нашей простой и понятной реальности живет девушка Алиса. Она учится, читает книги, ходит на концерты - а еще влюблена в загадочного парня, который постоянно куда-то исчезает. Как будто проваливается сквозь пространство. Или – в него?Что, если совсем рядом, за одной из соседних дверей может оказаться вход в другой мир? Мир, в котором мысли материальны, в котором обитают гарпии, охотники, безумцы и потерянные дети. Мир, в котором нельзя любить. Потому что все уже было. Все повторяется. Время закольцовано.Начинается новый момент дежавю."
Жестокая игра (книга 2) Жизнь,Павел Коршунов,"Ты раб и убийца на коротком поводке. Лишь одно задание отделает тебя от главной цели - сбросить оковы. Ведь вот она свобода, одновременно так близко и так далеко. Но если бы ты только знал, к чему все это приведет…"
Среди эсперов и богов. Том 1,Виктор Литовцев,"Она - идеальная красавица, вызывающая восхищение всех вокруг… а ещё безжалостная двуличная особа, одержимая властью. Он - неприятный, мрачный и саркастичный одиночка-мизантроп… которому не нужно ничего. Они слишком разные, чтобы их что-то объединяло, но судьба свела их в первом российском университете для эсперов. И теперь, заключив взаимовыгодный договор, они намерены возглавить его студсовет. Однако выборы в подобном месте сопряжены с нешуточным риском."
Игра миров 2. Расстановка сил,Куропятник Максим,"Достигший своей цели, Дагаз присоединился к Древним, но в тоже время невольно создал напряженную обстановку в городе. Это заставляет его действовать более аккуратно и скрытно, пытаясь выполнить задание темных магов. Удастся ему это? Или его постигнет неудача и имперские стражи заключат его в темницу?Пы.Сы. Проды выкладывать стараюсь минимум раз в неделю."
Книга 1. Новый путь.,Седых Александр,"Стихийный портал, образованный в минуту смертельной опасности, выносит главного героя в техномир на другой стороне галактики. Добираться до дома предстоит годы. Возможно не стоит спешить, а лучше обосноваться на новом месте. Семья поможет, даже издалека. Близость к смерти сбросила все магические блокировки на обучение, хотя он и не достиг разрешённого для обучения возраста. Осталось только учиться и обрастать друзьями и полезными связями на новом месте."
Книга 2. Игра хаоса.,Седых Александр,"Оставаясь запертым на планете, демон не собирался ждать спасения сложа руки. Возможно, друзья найдут путь до скрытой системы, а может, и не найдут. Полагаться только на других, демон не привык. Лучше самому построить нужный транспорт и добраться до другой планеты, где, по данным коммуникатора, спрятан прыжковый корабль. Желания могут исполняться разными способами. Новые друзья и новые возможности укажут демону другой путь или вообще, в очередной раз, изменят его жизнь."
Демон Разума 3: Царство света,Иван Шаман,Свет пришел! И пусть не он в этот раз стал проводником его в этот мир. Старые враги и друзья не будут ждать второго спасителя.Аннотацию и обложку поменяю в течении недели - двух. Книга будет выходить по одной главе в неделю.
Под перекрёстным огнём (том 1),Кусков Сергей Анатольевич,"Проект. Будущее клана Веласкес и Венеры. Направление, в которое все вложатся и по которому поведут развитие планеты. Все говорят о нём, но никто из инвесторов и сеньор офицеров, включая королеву, до конца не понимает, что это такое.    Для меня Проект - это выбор стратегии, пути ""наверх""; дорожка, идя по которой можно стать главой государства. И начинается она с выбора той, кто будет всё это время рядом, станет для меня половинкой, спутницей и, конечно, трамплином.    Их несколько, потенциальных трамплинов. У каждой свои плюсы и минусы, все мне безумно и обоюдно нравятся... Но выбрать нужно одну, и цена ошибки - вся оставшаяся испорченная жизнь. А возможно и судьба Венеры."
Кваzи Эпсил'ON Книга 2. Пират.,Поляков Эдуард,"Том второй повествует о продолжении преключений Артема КУВа и его ""Всадников Апокалипсиса"". Противостояние с Альфа Нова далеко не самое страшное что ожидает заключенного и дендроида, а теперь пирата. Ведь компьютерный космос далеко не так спокоен. Ведь теперь он лакомый трофей для сильнейших этого мира.  А.Л.К.О.прода в ВК."
Черное Пламя над Степью,Георгий Смородинский,"Финальная битва все ближе, и времени на то, чтобы отдышаться и прийти в себя - нет. Виил, бог ненависти, подчинивший себе оккупировавшую границы Эрантии нежить, вот-вот ворвется в степи орков. Темный бог Ракот пытается прорвать границу мира из своего Лимба, а с востока все отчетливее слышится дыхание трех древних тварей, чудовищ, готовых уничтожить все живое. Система искусственного интеллекта агонизирует, мир Аркона все меньше похож на игру, стандартные схемы поведения мобов - в прошлом. Больше нет простых решений и смешных врагов. Хочешь победить? Стать сильнее? Да просто выжить, в конце концов? Рви жилы, не жалей себя и не щади врагов. Сражайся, Харт возьми, за свою свободу! За своих друзей, за будущее мира, в котором теперь тебе жить. Вышвырни падаль из своего дома и освободи самую прекрасную женщину в мире! Развязка уже близка, и все ярче над Степью разгорается Черное Пламя..."
Жестокая игра (книга 1) Рождение,Павел Коршунов,"Ты был гонщиком, любящим скорость и драйв, но авария поставила на твоей жизни жирный крест. В попытке спасти твой разум, искореженное  тело погружают в регенерационную камеру, и подключают к игре.Вот только странная ошибка, закравшаяся в один из блоков виртуальной капсулы, обернулась заблокированным интерфейсом и неожиданными багами в системе. Но это было лишь началом!Затем последовало далеко не случайное стечение обстоятельств, нарушение высшим искином всех правил игры, и вот ты теперь раб в самой могущественной гильдии убийц среди неписей...Аудиоверсия книги от 1С вышла на Литресе!Для тех, кому удобно слушать книги за рулем или в наушниках -https://www.litres.ru/pavel-korshunov/zhestokaya-igra-rozhdenie-35003559/"
Путь Шамана. Шаг 1: Начало пути,Василий Маханенко,"Барлиона. Виртуальный мир, наполненный приключениями, битвами, монстрами и конечно же игроками. Для многих Барлиона заменила собой реальность, ведь в ней сбываются любые желания человека: магия, эльфы, драконы.В мире существует только одно правило — игрок не чувствует боли. Но у каждого правила есть исключения, и для части игроков Барлиона стала адом. Ведь они — преступники, играющие в самом тяжелом режиме с включенными ощущениями."
За гранью добра и зла,Джокер J.K.R,"Он был простым парнем, любил фэнтези, выпить и пошутить. И с попаданием в другой мир это не изменилось. Только вот магия теперь не на страницах книг, а в реальности. И пусть мир не совсем типичный, отличающийся от классического представления. Но и парень не так прост, матёрый ролевик со своеобразным отношением к жизни и талантом легко заводить как друзей, так и врагов. Спокойно жить - да ещё с таким характером, - конечно, не удастся. Одни пытаются заставить выполнять Пророчество, другие не поняли юмора и обиделись, а третьи вовсе враждуют с его двойником из другого мира и попросту обознались! Ну ничего, авось кривая выведет - хотя бы к ближайшему трактиру. А дальше как повезёт."
Игорь Колыванский,Владимир Атомный,Может ли месть служить смыслом жизни? Для юного боевого мага Ингви - да. Он потерял семью и Родину. Даже происхождение нужно скрывать. Теперь его зовут Игорь Колыванский и он воспитанник Императорской гимназии Российской Империи.
Полёт сокола 2 Сафари,Широков Алексей,"Ты сбежал в Африку, надеясь развеяться охотясь на нежить. А каково тебе будет самому очутиться в роли дичи на сафари.Продолжение приключений егеря Фалька на Чёрном Континенте."
S-T-I-K-S Территория везучих,Артем Каменистый,"Ты знаешь, где лежат сказочные сокровища, знаешь способ, как их заполучить, и знаешь безопасную дорогу, по которой к ним можно добраться? Твой план прост и продуман до мелочей? Ну так вперед, только не забывай, что Стикс - мастер сюрпризов и враг однообразия. На сокровища могут найтись и другие охотники, заполучить их и при этом сохранить жизнь вряд ли получится, ну а безопасная дорога легко становится кошмарной. А если при этом все серьезные ребята знают, что за твою голову назначена награда, в кошмар превращается абсолютно все, и даже посреди безопасного стаба тебе придется ходить с оглядкой."
Рыцарь Вал,Роберт Снегович,"Он был легендой... Он и есть легенда. Сильнейший слуга Короля, при взгляде на которого трепещут сердца врагов. Там, где другие сдавались, он был неукротим. Там, где другие умирали, он побеждал. Но возраст берет свое, и даже для лучших годы не проходят бесследно. Великий Король отправляет Вала на последнее задание. Миссию, которая пугает ветерана сотен битв до мурашек!Второй вариант аннотации.Мы часто представляем себя в шкуре других людей. Моделей, актеров, политиков... Тех, кто живет с нами в одном мире. Тех, кто ничем, по сути, от нас не отличается!Рыцарь Вал никогда и не думал о том, чтобы стать кем-то другим. Но вот, он оказался втянут в чужой мир, со своими правилами, законами и ограничениями...Сможет ли целый мир изменить одного человека, который НЕ ЖЕЛАЕТ меняться?Ах да, у рыцаря, помимо непредвиденного путешествия, есть также парочка невыполнимых миссий от самого короля! И он в блин раскатается, но не подведет своего правителя!"
Посоветуй мне...,Владимир Атомный,"Звонко, ярко, напористо! Василий опомнится не успел, как в жизнь пришёл соблазн. Ей нет даже шестнадцати. Случай свёл их вместе и Василий решил немного поплыть по течению."
Потерянная,Плотников Сергей,"Михаил, а ныне техспек-мерх Миш все-таки нашел на планете Каллига следы своей жены... Не сказать, что находка его сильно порадовала. Тем не менее жизнь продолжается: ""на шее"" у отца-одиночки, оказавшегося черте-где без средств к существованию по-прежнему двое детей, которых нужно кормить, учить и, главное - как-то вывести в люди. Да и на себе, при здравом размышлении, уже не хочется ставить крест. При условии, что его работа по безопасности и социальным гарантиям примерно равна вдумчивому курению на пороховой бочке, напарник - мехна, изгнанная из Коалиции, которой непонятно что от Миша и его семьи нужно, начальство - кучка беспринципных типов, не особо разборчивых в источнике денег, сделать задуманное будет непросто. А ведь даже если отбросить мысли о мести, сама история с имперским родом Вил далеко не закончена..."
Золото,Олег Борисов,Смелые духом водят корабли между парящими в небесах островами. Способные рискнуть доверяют свою жизнь острому клинку и поднимают пиратские стяги. Но лишь единицы могут добыть желанное золото. Остальных ждет топор палача и плаха.А золото - зовет...
Хозяин Замка Бури,Алекс Каменев,"Это Фэлрон. Мир стали и волшебства. Здесь Древняя Знать ищет пути возрождения к былому величию, а монархи людских королевств стремятся расширить свои территории. Здесь магические кланы стихий жаждут обладать запретными силами, а бессмертные племена Восточного Леса хотят расширить пределы своего обитания. Мир, куда пришли порождения Бездны. Мир, ставший на пороге великой войны."
Чужая война 2,Арт Богданов,"Прошло время бежать и прятаться. Настало время строить свой новый дом и готовиться к контратаке. И скоро кое-кто заплатит за смерть друзей. А таймер неумолимо отсчитывает время до прихода настоящего врага. Тик-так, тик-так, тик…"
Двенадцатая реинкарнация. Свердловск 1976,Богдашов Сергей Александрович,"Хотели пошутить с Богами и стать выше? Оказалось, что жертва шутки - Вы. Получили достойную награду и сбывшееся желание? Ну что же, попробуйте прожить новую жизнь в двенадцатый раз. Ваш новый адрес: планета Земля, СССР, г.Свердловск. Июль, 1976 год."
Мастер клинков. Начало пути-1,Дмитрий Распопов,"Если бы вам сказали, что через год вы станете бароном? Если бы намекнули, что вы будете участвовать в дворцовых интригах крупного королевства? Если бы пообещали, что вас примут у себя гномы? Если бы утверждали, что вы будете управлять своими замком и деревней? Что бы вы ответили?"
Последний Храм. Наследник.,Арт Богданов,"Нами управляет страх. Все мы чего-то боимся. Так происходит до тех пор, пока настоящая Смерть не скажет: ""Привет, я пришла за тобой"". В этот краткий миг мы понимаем, как глупо жили. Арториус жил не так. Почти погиб,тоже не так, и будет остаток времени жить не так.Он не лучше вас. Он просто не хотел жить так, как... А вот как, придется понять вместе с ним. Если есть желание."
Cнова дембель,Здрав Олег,"Второй раз на срочную? Так не бывает, но иногда случается. *** Попаданец в СССР - 1988 год"
Level Up. Рестарт,Данияр Сугралинов,"Жизнь не удалась. К тридцати с лишним годам он обзавелся женой, нерегулярными подработками на фрилансе, хорошим мощным компьютером, разбойником 100-го уровня в популярной онлайн-игре и пивным брюшком.Что должно произойти в жизни великовозрастного геймера-задрота, чтобы он изменил свое отношение к жизни? Может быть то, что от него уходит любимая жена? Или то, что у него появляется способность видеть наш мир через интерфейс ролевой игры? Реальность жестока: его репутация в глазах жены - ""Неприязнь"", ловкость - 4, сила - 6, выносливость - 3, а самый прокачанный скилл - навык игры в World of Warcraft.Пора что-то менять."
Истребитель 2: Орки,Иван Шаман,"Он пережил Последний теракт, два боя с бессмертным киборгом Императором и потерю любимой. Но апокалипсис только начинается.Кто он? Безумец? Маньяк, помешенный на убийствах? Мститель, собирающий кровавую жатву?Или он просто воин, сражающийся за свой народ?"
Завуч Книга 1ая,Павел Вяч,"Парень, всю жизнь мечтающий о магии и нашедший ее в слове. Студент, с отличием окончивший филфак, погрузившийся в мир слова. Молодой филолог, ставший сначала учителем русского языка и литературы, а затем завучем в обычной средней школе. Завуч, повезший детей на конференцию в Казахстанские степи, и попавший в параллельный мир, из-за пошедшего не так эксперимента российских военных. Молодой мужчина, на которого свалились так желаемые им магические способности, и которому придется решить два важнейших вопроса в своей жизни: Кто он, завуч или имперский маг? И что для него важнее – мечта (магия) или долг (дети)?"
